stock_name,stock_num,class
EMP88 就業88,EMP88,櫃指數類
GTCI 薪酬指數,GTCI,櫃指數類
GTHD 高殖利,GTHD,櫃指數類
GTSM50 富櫃50,GTSM50,櫃指數類
IR0118 富櫃200報酬指,IR0118,櫃指數類
IR0138 櫃Quality 50報酬指,IR0138,櫃指數類
IR0140 櫃半導體領航報酬指,IR0140,櫃指數類
IR0141 富櫃200報酬日正二,IR0141,櫃指數類
IR0148 櫃ESG成長報酬指,IR0148,櫃指數類
IR0149 櫃ESG電子菁英報酬指,IR0149,櫃指數類
IX0118 富櫃200指,IX0118,櫃指數類
IX0134 櫃永續指,IX0134,櫃指數類
IX0138 櫃Quality 50指,IX0138,櫃指數類
TPCGI 櫃治理,TPCGI,櫃指數類
TWTBI 公債指,TWTBI,櫃指數類
6150 撼訊,6150,櫃電腦週邊
6160 欣技,6160,櫃電腦週邊
6161 捷波,6161,櫃電腦週邊
6188 廣明,6188,櫃電腦週邊
6228 全譜,6228,櫃電腦週邊
6276 安鈦克,6276,櫃電腦週邊
6441 廣錠,6441,櫃電腦週邊
6570 維田,6570,櫃電腦週邊
6577 勁豐,6577,櫃電腦週邊
6594 展匯科,6594,櫃電腦週邊
6680 鑫創電子,6680,櫃電腦週邊
8050 廣積,8050,櫃電腦週邊
8076 伍豐,8076,櫃電腦週邊
8234 新漢,8234,櫃電腦週邊
8410 森田,8410,櫃電腦週邊
3066 李洲,3066,櫃光電
3128 昇銳,3128,櫃光電
3230 錦明,3230,櫃光電
3297 杭特,3297,櫃光電
3339 泰谷,3339,櫃光電
3362 先進光,3362,櫃光電
3434 哲固,3434,櫃光電
3441 聯一光,3441,櫃光電
3455 由田,3455,櫃光電
3490 單井,3490,櫃光電
3516 亞帝歐,3516,櫃光電
3523 迎輝,3523,櫃光電
3531 先益,3531,櫃光電
3615 安可,3615,櫃光電
3623 富晶通,3623,櫃光電
3630 新鉅科,3630,櫃光電
3666 光耀,3666,櫃光電
3691 碩禾,3691,櫃光電
3713 新晶投控,3713,櫃光電
4729 熒茂,4729,櫃光電
4933 友輝,4933,櫃光電
4944 兆遠,4944,櫃光電
4972 湯石照明,4972,櫃光電
4995 晶達,4995,櫃光電
5220 萬達光電,5220,櫃光電
5230 雷笛克光學,5230,櫃光電
5245 智晶,5245,櫃光電
5251 天鉞電,5251,櫃光電
5281 大峽谷-KY,5281,櫃光電
5315 光聯,5315,櫃光電
5371 中光電,5371,櫃光電
5392 能率,5392,櫃光電
5432 新門,5432,櫃光電
5443 均豪,5443,櫃光電
6125 廣運,6125,櫃光電
6167 久正,6167,櫃光電
6222 上揚,6222,櫃光電
6234 高僑,6234,櫃光電
6244 茂迪,6244,櫃光電
6246 臺龍,6246,櫃光電
6419 京晨科,6419,櫃光電
6556 勝品,6556,櫃光電
6560 欣普羅,6560,櫃光電
6859 伯特光,6859,櫃光電
7402 邑錡,7402,櫃光電
8049 晶采,8049,櫃光電
8064 東捷,8064,櫃光電
8069 元太,8069,櫃光電
8087 華鎂鑫,8087,櫃光電
8111 立碁,8111,櫃光電
8240 華宏,8240,櫃光電
3081 聯亞,3081,櫃通訊網路
3095 及成,3095,櫃通訊網路
3152 璟德,3152,櫃通訊網路
3163 波若威,3163,櫃通訊網路
3221 台嘉碩,3221,櫃通訊網路
3234 光環,3234,櫃通訊網路
3306 鼎天,3306,櫃通訊網路
3363 上詮,3363,櫃通訊網路
3466 致振,3466,櫃通訊網路
3491 昇達科,3491,櫃通訊網路
3499 環天科,3499,櫃通訊網路
3558 神準,3558,櫃通訊網路
3564 其陽,3564,櫃通訊網路
3632 研勤,3632,櫃通訊網路
3664 安瑞-KY,3664,櫃通訊網路
3672 康聯訊,3672,櫃通訊網路
3684 榮昌,3684,櫃通訊網路
4903 聯光通,4903,櫃通訊網路
4905 台聯電,4905,櫃通訊網路
4908 前鼎,4908,櫃通訊網路
4909 新復興,4909,櫃通訊網路
4979 華星光,4979,櫃通訊網路
5348 系通,5348,櫃通訊網路
5353 台林,5353,櫃通訊網路
6109 亞元,6109,櫃通訊網路
6143 振曜,6143,櫃通訊網路
6163 華電網,6163,櫃通訊網路
6170 統振,6170,櫃通訊網路
6190 萬泰科,6190,櫃通訊網路
6218 豪勉,6218,櫃通訊網路
6241 易通展,6241,櫃通訊網路
6245 立端,6245,櫃通訊網路
6263 普萊德,6263,櫃通訊網路
6417 韋僑,6417,櫃通訊網路
6465 威潤,6465,櫃通訊網路
6470 宇智,6470,櫃通訊網路
6486 互動,6486,櫃通訊網路
6514 芮特-KY,6514,櫃通訊網路
6530 創威,6530,櫃通訊網路
6546 正基,6546,櫃通訊網路
6561 是方,6561,櫃通訊網路
6588 東典光電,6588,櫃通訊網路
8034 榮群,8034,櫃通訊網路
8048 德勝,8048,櫃通訊網路
8059 凱碩,8059,櫃通訊網路
8089 康全電訊,8089,櫃通訊網路
8097 常珵,8097,櫃通訊網路
8171 天宇,8171,櫃通訊網路
8176 智捷,8176,櫃通訊網路
1336 台翰,1336,櫃電子零組件
1595 川寶,1595,櫃電子零組件
1815 富喬,1815,櫃電子零組件
3078 僑威,3078,櫃電子零組件
3089 億杰,3089,櫃電子零組件
3114 好德,3114,櫃電子零組件
3115 富榮綱,3115,櫃電子零組件
3191 和進,3191,櫃電子零組件
3202 樺晟,3202,櫃電子零組件
3206 志豐,3206,櫃電子零組件
3207 耀勝,3207,櫃電子零組件
3217 優群,3217,櫃電子零組件
3236 千如,3236,櫃電子零組件
3276 宇環,3276,櫃電子零組件
3288 點晶,3288,櫃電子零組件
3290 東浦,3290,櫃電子零組件
3294 英濟,3294,櫃電子零組件
3310 佳穎,3310,櫃電子零組件
3322 建舜電,3322,櫃電子零組件
3332 幸康,3332,櫃電子零組件
3354 律勝,3354,櫃電子零組件
3357 臺慶科,3357,櫃電子零組件
3388 崇越電,3388,櫃電子零組件
3390 旭軟,3390,櫃電子零組件
3465 進泰電子,3465,櫃電子零組件
3484 崧騰,3484,櫃電子零組件
3492 長盛,3492,櫃電子零組件
3511 矽瑪,3511,櫃電子零組件
3520 華盈,3520,櫃電子零組件
3526 凡甲,3526,櫃電子零組件
3537 堡達,3537,櫃電子零組件
3548 兆利,3548,櫃電子零組件
3597 映興,3597,櫃電子零組件
3609 三一東林,3609,櫃電子零組件
3624 光頡,3624,櫃電子零組件
3631 晟楠,3631,櫃電子零組件
3646 艾恩特,3646,櫃電子零組件
3689 湧德,3689,櫃電子零組件
3710 連展投控,3710,櫃電子零組件
4542 科嶠,4542,櫃電子零組件
4939 亞電,4939,櫃電子零組件
4974 亞泰,4974,櫃電子零組件
5223 安力-KY,5223,櫃電子零組件
5227 立凱-KY,5227,櫃電子零組件
5228 鈺鎧,5228,櫃電子零組件
5291 邑昇,5291,櫃電子零組件
5309 系統電,5309,櫃電子零組件
5328 華容,5328,櫃電子零組件
5340 建榮,5340,櫃電子零組件
5355 佳總,5355,櫃電子零組件
5381 合正,5381,櫃電子零組件
5439 高技,5439,櫃電子零組件
5457 宣德,5457,櫃電子零組件
5460 同協,5460,櫃電子零組件
5464 霖宏,5464,櫃電子零組件
5475 德宏,5475,櫃電子零組件
5488 松普,5488,櫃電子零組件
5498 凱崴,5498,櫃電子零組件
6114 久威,6114,櫃電子零組件
6124 業強,6124,櫃電子零組件
6126 信音,6126,櫃電子零組件
6127 九豪,6127,櫃電子零組件
6134 萬旭,6134,櫃電子零組件
6156 松上,6156,櫃電子零組件
6158 禾昌,6158,櫃電子零組件
6173 信昌電,6173,櫃電子零組件
6174 安碁,6174,櫃電子零組件
6175 立敦,6175,櫃電子零組件
6185 幃翔,6185,櫃電子零組件
6194 育富,6194,櫃電子零組件
6203 海韻電,6203,櫃電子零組件
6204 艾華,6204,櫃電子零組件
6207 雷科,6207,櫃電子零組件
6208 日揚,6208,櫃電子零組件
6210 慶生,6210,櫃電子零組件
6217 中探針,6217,櫃電子零組件
6220 岳豐,6220,櫃電子零組件
6259 百徽,6259,櫃電子零組件
6266 泰詠,6266,櫃電子零組件
6274 台燿,6274,櫃電子零組件
6279 胡連,6279,櫃電子零組件
6284 佳邦,6284,櫃電子零組件
6290 良維,6290,櫃電子零組件
6292 迅德,6292,櫃電子零組件
6418 詠昇,6418,櫃電子零組件
6432 今展科,6432,櫃電子零組件
6538 倉和,6538,櫃電子零組件
6642 富致,6642,櫃電子零組件
6664 群翊,6664,櫃電子零組件
6727 亞泰金屬,6727,櫃電子零組件
6761 穩得,6761,櫃電子零組件
8038 長園科,8038,櫃電子零組件
8042 金山電,8042,櫃電子零組件
8043 蜜望實,8043,櫃電子零組件
8071 能率網通,8071,櫃電子零組件
8074 鉅橡,8074,櫃電子零組件
8091 翔名,8091,櫃電子零組件
8093 保銳,8093,櫃電子零組件
8109 博大,8109,櫃電子零組件
8121 越峰,8121,櫃電子零組件
8147 正淩,8147,櫃電子零組件
8155 博智,8155,櫃電子零組件
8182 加高,8182,櫃電子零組件
8289 泰藝,8289,櫃電子零組件
8291 尚茂,8291,櫃電子零組件
8358 金居,8358,櫃電子零組件
3224 三顧,3224,櫃電子通路
3232 昱捷,3232,櫃電子通路
3360 尚立,3360,櫃電子通路
3444 利機,3444,櫃電子通路
6113 亞矽,6113,櫃電子通路
6118 建達,6118,櫃電子通路
6154 順發,6154,櫃電子通路
6227 茂綸,6227,櫃電子通路
6265 方土昶,6265,櫃電子通路
6270 倍微,6270,櫃電子通路
6275 元山,6275,櫃電子通路
8032 光菱,8032,櫃電子通路
8067 志旭,8067,櫃電子通路
8068 全達,8068,櫃電子通路
8084 巨虹,8084,櫃電子通路
8096 擎亞,8096,櫃電子通路
3147 大綜,3147,櫃資訊服務
3570 大塚,3570,櫃資訊服務
4953 緯軟,4953,櫃資訊服務
5201 凱衛,5201,櫃資訊服務
5202 力新,5202,櫃資訊服務
5210 寶碩,5210,櫃資訊服務
5211 蒙恬,5211,櫃資訊服務
5212 凌網,5212,櫃資訊服務
5310 天剛,5310,櫃資訊服務
5403 中菲,5403,櫃資訊服務
5410 國眾,5410,櫃資訊服務
6140 訊達,6140,櫃資訊服務
6148 驊宏資,6148,櫃資訊服務
6221 晉泰,6221,櫃資訊服務
6231 系微,6231,櫃資訊服務
6404 通訊-KY,6404,櫃資訊服務
6516 勤崴國際,6516,櫃資訊服務
6590 普鴻,6590,櫃資訊服務
6593 台灣銘板,6593,櫃資訊服務
6690 安碁資訊,6690,櫃資訊服務
6697 東捷資訊,6697,櫃資訊服務
6751 智聯服務,6751,櫃資訊服務
6752 叡揚,6752,櫃資訊服務
6791 虎門科技,6791,櫃資訊服務
6811 宏碁資訊,6811,櫃資訊服務
8099 大世科,8099,櫃資訊服務
8284 三竹,8284,櫃資訊服務
8416 實威,8416,櫃資訊服務
1785 光洋科,1785,櫃其他電子
3067 全域,3067,櫃其他電子
3093 港建,3093,櫃其他電子
3131 弘塑,3131,櫃其他電子
3219 倚強科,3219,櫃其他電子
3285 微端,3285,櫃其他電子
3289 宜特,3289,櫃其他電子
3303 岱稜,3303,櫃其他電子
3324 雙鴻,3324,櫃其他電子
3373 熱映,3373,櫃其他電子
3402 漢科,3402,櫃其他電子
3498 陽程,3498,櫃其他電子
3508 位速,3508,櫃其他電子
3541 西柏,3541,櫃其他電子
3551 世禾,3551,櫃其他電子
3552 同致,3552,櫃其他電子
3580 友威科,3580,櫃其他電子
3587 閎康,3587,櫃其他電子
3628 盈正,3628,櫃其他電子
3642 駿熠電,3642,櫃其他電子
3663 鑫科,3663,櫃其他電子
4554 橙的,4554,櫃其他電子
4577 達航科技,4577,櫃其他電子
4760 勤凱,4760,櫃其他電子
5205 中茂,5205,櫃其他電子
5383 金利,5383,櫃其他電子
5452 佶優,5452,櫃其他電子
5489 彩富,5489,櫃其他電子
5493 三聯,5493,櫃其他電子
5536 聖暉*,5536,櫃其他電子
6146 耕興,6146,櫃其他電子
6151 晉倫,6151,櫃其他電子
6187 萬潤,6187,櫃其他電子
6247 淇譽電,6247,櫃其他電子
6512 啟發電,6512,櫃其他電子
6613 朋億*,6613,櫃其他電子
6654 天正國際,6654,櫃其他電子
6667 信紘科,6667,櫃其他電子
6735 美達科技,6735,櫃其他電子
6855 數泓科,6855,櫃其他電子
8047 星雲,8047,櫃其他電子
8085 福華,8085,櫃其他電子
8092 建暐,8092,櫃其他電子
8183 精星,8183,櫃其他電子
8383 千附,8383,櫃其他電子
8431 匯鑽科,8431,櫃其他電子
2596 綠意,2596,櫃營建
3188 鑫龍騰,3188,櫃營建
3489 森寶,3489,櫃營建
3512 皇龍,3512,櫃營建
4113 聯上,4113,櫃營建
4416 三圓,4416,櫃營建
4907 富宇,4907,櫃營建
5206 坤悅,5206,櫃營建
5213 亞昕,5213,櫃營建
5324 士開,5324,櫃營建
5455 昇益,5455,櫃營建
5508 永信建,5508,櫃營建
5511 德昌,5511,櫃營建
5512 力麒,5512,櫃營建
5514 三豐,5514,櫃營建
5516 雙喜,5516,櫃營建
5520 力泰,5520,櫃營建
5523 豐謙,5523,櫃營建
5529 鉅陞,5529,櫃營建
5543 桓鼎-KY,5543,櫃營建
6171 大城地產,6171,櫃營建
6186 新潤,6186,櫃營建
6212 理銘,6212,櫃營建
6219 富旺,6219,櫃營建
6264 富裔,6264,櫃營建
8080 永利聯合,8080,櫃營建
8424 惠普,8424,櫃營建
2641 正德,2641,櫃航運
2643 捷迅,2643,櫃航運
5601 台聯櫃,5601,櫃航運
5603 陸海,5603,櫃航運
5609 中菲行,5609,櫃航運
1259 安心,1259,櫃觀光
1268 漢來美食,1268,櫃觀光
2718 晶悅,2718,櫃觀光
2719 燦星旅,2719,櫃觀光
2724 富驛-KY,2724,櫃觀光
2726 雅茗-KY,2726,櫃觀光
2729 瓦城,2729,櫃觀光
2732 六角,2732,櫃觀光
2734 易飛網,2734,櫃觀光
2736 富野,2736,櫃觀光
2740 天蔥,2740,櫃觀光
2743 山富,2743,櫃觀光
2745 五福,2745,櫃觀光
2752 豆府,2752,櫃觀光
2754 亞洲藏壽司,2754,櫃觀光
2755 揚秦,2755,櫃觀光
2756 聯發國際,2756,櫃觀光
3252 海灣,3252,櫃觀光
3522 御頂,3522,櫃觀光
4804 大略-KY,4804,櫃觀光
5301 寶得利,5301,櫃觀光
5364 力麗店,5364,櫃觀光
5701 劍湖山,5701,櫃觀光
5703 亞都,5703,櫃觀光
5704 老爺知,5704,櫃觀光
8077 洛碁,8077,櫃觀光
5864 致和證,5864,櫃金融
5878 台名,5878,櫃金融
6015 宏遠證,6015,櫃金融
6016 康和證,6016,櫃金融
6020 大展證,6020,櫃金融
6021 美好證,6021,櫃金融
6023 元大期,6023,櫃金融
6026 福邦證,6026,櫃金融
2916 滿心,2916,櫃貿易百貨
2924 東凌-KY,2924,櫃貿易百貨
2937 集雅社,2937,櫃貿易百貨
2947 振宇五金,2947,櫃貿易百貨
3171 新洲,3171,櫃貿易百貨
5902 德記,5902,櫃貿易百貨
5903 全家,5903,櫃貿易百貨
5904 寶雅,5904,櫃貿易百貨
5905 南仁湖,5905,櫃貿易百貨
6195 詩肯,6195,櫃貿易百貨
6728 上洋,6728,櫃貿易百貨
8066 來思達,8066,櫃貿易百貨
8433 弘帆,8433,櫃貿易百貨
8941 關中,8941,櫃貿易百貨
