Number,Name,Investment company,Date,File path,Recommend
2395,研華,國票,2018_03_08,/home/cosbi/桌面/financialData/gmailData/data/2395/2395_研華_2018-03-08_國票_2395研華03082018.pdf,NULL
3231,緯創,統一投顧,2018_03_14,/home/cosbi/桌面/financialData/gmailData/data/3231/3231_緯創_2018-03-14_統一投顧_統一投顧-吳大任-【投資速報】緯創(3231.TT，買進) 手機產線轉盈，2018年獲利有望大幅成長.pdf,NULL
3105,穩懋,國票,2018_03_13,/home/cosbi/桌面/financialData/gmailData/data/3105/3105_穩懋_2018-03-13_國票_3105穩懋03132018.pdf,NULL
2618,長榮航,統一投顧,2018_04_02,/home/cosbi/桌面/financialData/gmailData/data/2618/2618_長榮航_2018-04-02_統一投顧_統一投顧-張榮森-【投資速報】長榮航 (2618.TT，中立) 4Q17財報不如預期，油價強勢壓縮2018年獲利.pdf,NULL
2880,華南金,統一投顧,2018_03_09,/home/cosbi/桌面/financialData/gmailData/data/2880/2880_華南金_2018-03-09_統一投顧_統一投顧-陳晏平-【投資速報】華南金 (2880.TT，中立) 18年獲利可望回升，惟現金殖利率僅3.pdf,NULL
5388,中磊,統一投顧,2018_03_14,/home/cosbi/桌面/financialData/gmailData/data/5388/5388_中磊_2018-03-14_統一投顧_統一投顧-葉修劼-【投資速報】中磊 (5388.TT，中立) 產業上肥下瘦，毛利率受到壓抑.pdf,NULL
4736,泰博,統一投顧,2018_03_29,/home/cosbi/桌面/financialData/gmailData/data/4736/4736_泰博_2018-03-29_統一投顧_統一投顧-張立群-【投資速報】泰博 (4736.TT，強力買進) 2018將創近5年最佳成長，評價仍被大幅低估.pdf,NULL
4968,立積,國票,2018_03_05,/home/cosbi/桌面/financialData/gmailData/data/4968/4968_立積_2018-03-05_國票_4968立積03052018.pdf,NULL
4147,中裕,統一投顧,2018_03_08,/home/cosbi/桌面/financialData/gmailData/data/4147/4147_中裕_2018-03-08_統一投顧_統一投顧-張立群-【投資速報】中裕 (4147.TT，買進)藥價優於預期，銷售潛力上修.pdf,NULL
5287,數字,統一投顧,2018_03_12,/home/cosbi/桌面/financialData/gmailData/data/5287/5287_數字_2018-03-12_統一投顧_統一投顧-葉修劼-【投資速報】數字 (5287.TT，買進) 今年本業獲利高速成長，股利政策值得期待.pdf,NULL
2377,微星,統一投顧,2018_03_30,/home/cosbi/桌面/financialData/gmailData/data/2377/2377_微星_2018-03-30_統一投顧_統一投顧-吳大任-【投資速報】微星(2377.TT，買進) 電競新品齊發，顯卡受惠挖礦需求，上修18年獲利預估法.pdf,NULL
4938,和碩,統一投顧,2018_03_16,/home/cosbi/桌面/financialData/gmailData/data/4938/4938_和碩_2018-03-16_統一投顧_統一投顧-吳大任-【投資速報】和碩 (4938.TT，中立) 4Q17財報不如預期，1H18獲利動能平淡.pdf,NULL
2327,國巨,國票,2018_03_05,/home/cosbi/桌面/financialData/gmailData/data/2327/2327_國巨_2018-03-05_國票_2327國巨03052018.pdf,NULL
