ID,stockNum,stockName,date,filename,inputTime,username
81,4938,和碩,2018_06_02,4938_和碩_2018-06-02_下午7:13:54.txt,下午7:13:54,c21221203
82,6648,斯其大,2018_06_02,6648_斯其大_2018-06-02_下午7:14:01.txt,下午7:14:01,c21221203
83,2049,上銀,2018_06_02,2049_上銀_2018-06-02_下午7:14:09.txt,下午7:14:09,c21221203
84,6277,宏正,2018_06_02,6277_宏正_2018-06-02_下午7:14:19.txt,下午7:14:19,c21221203
85,4152,台微體,2018_06_02,4152_台微體_2018-06-02_下午7:14:25.txt,下午7:14:25,c21221203
86,2929,淘帝-KY,2018_06_02,2929_淘帝-KY_2018-06-02_下午7:14:31.txt,下午7:14:31,c21221203
87,1319,東陽,2018_06_02,1319_東陽_2018-06-02_下午7:14:39.txt,下午7:14:39,c21221203
88,3529,力旺,2018_06_02,3529_力旺_2018-06-02_下午7:14:45.txt,下午7:14:45,c21221203
89,2891,中信金,2018_06_02,2891_中信金_2018-06-02_下午7:14:52.txt,下午7:14:52,c21221203
90,4938,和碩,2018_06_02,4938_和碩_2018-06-02_下午7:14:59.txt,下午7:14:59,c21221203
91,2049,上銀,2018_06_02,2049_上銀_2018-06-02_下午7:15:07.txt,下午7:15:07,c21221203
92,6560,欣普羅,2018_06_02,6560_欣普羅_2018-06-02_下午7:15:27.txt,下午7:15:27,c21221203
93,5871,中租-KY,2018_06_02,5871_中租-KY_2018-06-02_下午7:15:34.txt,下午7:15:34,c21221203
94,5871,中租-KY,2018_06_02,5871_中租-KY_2018-06-02_下午7:15:44.txt,下午7:15:44,c21221203
95,3698,隆達,2018_06_02,3698_隆達_2018-06-02_下午7:15:51.txt,下午7:15:51,c21221203
96,1723,中碳,2018_06_02,1723_中碳_2018-06-02_下午7:15:58.txt,下午7:15:58,c21221203
97,3035,智原,2018_06_02,3035_智原_2018-06-02_下午7:16:07.txt,下午7:16:07,c21221203
98,2481,強茂,2018_06_03,2481_強茂_2018-06-03_8:28:06_PM.txt,8:28:06_PM,popowing
99,6432,今展科,2018_06_05,6432_今展科_2018-06-05_下午10:33:33.txt,下午10:33:33,c21221203
100,6279,胡連,2018_06_06,6279_胡連_2018-06-06_3:44:18_PM.txt,3:44:18_PM,popowing
101,4736,泰博,2018_06_06,4736_泰博_2018-06-06_4:35:11_PM.txt,4:35:11_PM,popowing
102,5007,三星,2018_06_06,5007_三星_2018-06-06_4:40:08_PM.txt,4:40:08_PM,popowing
103,8942,森鉅,2018_06_06,8942_森鉅_2018-06-06_4:40:51_PM.txt,4:40:51_PM,popowing
104,4739,康普,2018_06_06,4739_康普_2018-06-06_4:49:53_PM.txt,4:49:53_PM,popowing
105,3653,健策,2018_06_07,3653_健策_2018-06-07_10:05:17_PM.txt,10:05:17_PM,popowing
106,3653,健策,2018_06_07,3653_健策_2018-06-07_10:06:57_PM.txt,10:06:57_PM,popowing
107,2327,國巨,2018_06_11,2327_國巨_2018-06-11_下午4:49:28.txt,下午4:49:28,popowing
108,2327,國巨,2018_06_11,2327_國巨_2018-06-11_下午8:10:53.txt,下午8:10:53,c21221203
109,5349,先豐,2018_06_11,5349_先豐_2018-06-11_下午8:11:57.txt,下午8:11:57,c21221203
110,1568,倉佑,2018_06_11,1568_倉佑_2018-06-11_下午8:12:20.txt,下午8:12:20,c21221203
111,3008,大立光,2018_06_13,3008_大立光_2018-06-13_6:54:03_AM.txt,6:54:03_AM,popowing
112,4566,時碩工業,2018_06_13,4566_時碩工業_2018-06-13_4:58:33_PM.txt,4:58:33_PM,popowing
113,3189,景碩,2018_06_13,3189_景碩_2018-06-13_7:36:30_PM.txt,7:36:30_PM,popowing
114,3354,律勝,2018_06_13,3354_律勝_2018-06-13_10:54:51_PM.txt,10:54:51_PM,popowing
115,9951,皇田,2018_06_15,9951_皇田_2018-06-15_4:08:19_PM.txt,4:08:19_PM,popowing
116,8942,森鉅,2018_06_15,8942_森鉅_2018-06-15_4:09:36_PM.txt,4:09:36_PM,popowing
117,2017,官田鋼,2018_06_16,2017_官田鋼_2018-06-16_11:09:59_AM.txt,11:09:59_AM,popowing
118,1229,聯華,2018_06_18,1229_聯華_2018-06-18_下午12:00:40.txt,下午12:00:40,c21221203
119,5347,世界,2018_06_18,5347_世界_2018-06-18_下午12:01:25.txt,下午12:01:25,c21221203
120,2342,茂矽,2018_06_18,2342_茂矽_2018-06-18_下午12:01:52.txt,下午12:01:52,c21221203
121,1532,勤美,2018_06_18,1532_勤美_2018-06-18_下午12:02:26.txt,下午12:02:26,c21221203
122,4991,環宇-KY,2018_06_18,4991_環宇-KY_2018-06-18_下午12:02:44.txt,下午12:02:44,c21221203
123,2017,官田鋼,2018_06_18,2017_官田鋼_2018-06-18_下午12:03:05.txt,下午12:03:05,c21221203
124,3019,亞光,2018_06_18,3019_亞光_2018-06-18_下午12:06:00.txt,下午12:06:00,c21221203
125,3189,景碩,2018_06_18,3189_景碩_2018-06-18_下午12:06:24.txt,下午12:06:24,c21221203
126,8499,鼎炫-KY,2018_06_18,8499_鼎炫-KY_2018-06-18_下午12:06:38.txt,下午12:06:38,c21221203
127,1560,中砂,2018_06_18,1560_中砂_2018-06-18_下午12:06:50.txt,下午12:06:50,c21221203
128,1560,中砂,2018_06_18,1560_中砂_2018-06-18_下午12:07:05.txt,下午12:07:05,c21221203
129,4912,聯德控股-KY,2018_06_18,4912_聯德控股-KY_2018-06-18_下午12:07:21.txt,下午12:07:21,c21221203
130,4912,聯德控股-KY,2018_06_18,4912_聯德控股-KY_2018-06-18_下午12:07:34.txt,下午12:07:34,c21221203
