stockNum,stockName,date,filePath,inputTime,username
1786,科妍,2018-06-18,1786_科妍_2018-06-18.txt,下午12:43:23,c21221203
1507,永大,2018-06-18,1507_永大_2018-06-18.txt,下午12:43:34,c21221203
3189,景碩,2018-06-18,3189_景碩_2018-06-18.txt,下午12:44:06,c21221203
3189,景碩,2018-06-18,3189_景碩_2018-06-18.txt,下午12:44:22,c21221203
3008,大立光,2018-06-18,3008_大立光_2018-06-18.txt,下午12:44:36,c21221203
6435,大中,2018-06-18,6435_大中_2018-06-18.txt,下午12:44:57,c21221203
6138,茂達,2018-06-18,6138_茂達_2018-06-18.txt,下午12:45:10,c21221203
1718,中纖,2018-06-18,1718_中纖_2018-06-18.txt,下午12:45:27,c21221203
2344,華邦電,2018-06-18,2344_華邦電_2018-06-18.txt,下午12:45:46,c21221203
9958,世紀鋼,2018-06-18,9958_世紀鋼_2018-06-18.txt,下午12:46:43,c21221203
2327,國巨,2018-06-18,2327_國巨_2018-06-18.txt,下午12:47:19,c21221203
5349,先豐,2018-06-18,5349_先豐_2018-06-18.txt,下午12:48:17,c21221203
1568,倉佑,2018-06-18,1568_倉佑_2018-06-18.txt,下午12:48:36,c21221203
2383,台光電,2018-06-18,2383_台光電_2018-06-18.txt,下午12:49:22,c21221203
2637,慧洋-KY,2018-06-18,2637_慧洋-KY_2018-06-18.txt,下午12:51:14,c21221203
5305,敦南,2018-06-18,5305_敦南_2018-06-18.txt,下午12:52:03,c21221203
1476,儒鴻,2018-06-18,1476_儒鴻_2018-06-18.txt,下午12:52:48,c21221203
1476,儒鴻,2018-06-18,1476_儒鴻_2018-06-18.txt,下午12:53:05,c21221203
8255,朋程,2018-06-18,8255_朋程_2018-06-18.txt,下午12:53:57,c21221203
5609,中菲行,2018-06-20,5609_中菲行_2018-06-20.txt,4:48:04 PM,popowing
2456,奇力新,2018-06-20,2456_奇力新_2018-06-20.txt,8:27:04 PM,popowing
4563,百德,2018-06-20,4563_百德_2018-06-20.txt,9:48:47 PM,popowing
6230,超眾,2018-06-26,6230_超眾_2018-06-26.txt,9:42:26 PM,popowing
8074,鉅橡,2018-06-27,8074_鉅橡_2018-06-27.txt,上午1:18:44,c21221203
1319,東陽,2018-06-27,1319_東陽_2018-06-27.txt,上午1:18:59,c21221203
1582,信錦,2018-06-27,1582_信錦_2018-06-27.txt,上午1:19:16,c21221203
9914,美利達,2018-06-27,9914_美利達_2018-06-27.txt,上午1:19:32,c21221203
1312,國喬,2018-06-27,1312_國喬_2018-06-27.txt,上午1:19:46,c21221203
6573,虹揚-KY,2018-06-27,6573_虹揚-KY_2018-06-27.txt,上午1:20:21,c21221203
4563,百德,2018-06-27,4563_百德_2018-06-27.txt,上午1:20:38,c21221203
8415,大國鋼,2018-06-27,8415_大國鋼_2018-06-27.txt,上午1:20:52,c21221203
2030,彰源,2018-06-27,2030_彰源_2018-06-27.txt,上午1:21:15,c21221203
8105,凌巨,2018-06-27,8105_凌巨_2018-06-27.txt,上午1:21:23,c21221203
8105,凌巨,2018-06-27,8105_凌巨_2018-06-27.txt,上午1:21:37,c21221203
5434,崇越,2018-06-27,5434_崇越_2018-06-27.txt,上午1:21:49,c21221203
6238,勝麗,2018-06-27,6238_勝麗_2018-06-27.txt,上午1:22:07,c21221203
3548,兆利,2018-06-27,3548_兆利_2018-06-27.txt,上午1:22:44,c21221203
2456,奇力新,2018-06-27,2456_奇力新_2018-06-27.txt,上午1:23:04,c21221203
2301,光寶科,2018-06-27,2301_光寶科_2018-06-27.txt,上午1:23:47,c21221203
6449,鈺邦,2018-06-27,6449_鈺邦_2018-06-27.txt,上午1:23:59,c21221203
2464,盟立,2018-06-28,2464_盟立_2018-06-28.txt,3:00:15 PM,popowing
3443,創意,2018-06-28,3443_創意_2018-06-28.txt,3:00:33 PM,popowing
4137,麗豐-KY,2018-07-11,4137_麗豐-KY_2018-07-11.txt,上午12:36:17,c21221203
1591,駿吉-KY,2018-07-11,1591_駿吉-KY_2018-07-11.txt,上午12:36:33,c21221203
1727,中華化,2018-07-11,1727_中華化_2018-07-11.txt,上午12:36:54,c21221203
5903,全家,2018-07-11,5903_全家_2018-07-11.txt,上午12:37:05,c21221203
5903,全家,2018-07-11,5903_全家_2018-07-11.txt,上午12:37:22,c21221203
1455,集盛,2018-07-11,1455_集盛_2018-07-11.txt,上午12:38:19,c21221203
1591,駿吉-KY,2018-07-11,1591_駿吉-KY_2018-07-11.txt,上午12:38:29,c21221203
1455,集盛,2018-07-11,1455_集盛_2018-07-11.txt,上午12:38:42,c21221203
8463,潤泰材,2018-07-11,8463_潤泰材_2018-07-11.txt,上午12:38:58,c21221203
6175,立敦,2018-07-11,6175_立敦_2018-07-11.txt,上午12:39:10,c21221203
8163,達方,2018-07-11,8163_達方_2018-07-11.txt,上午12:39:30,c21221203
1592,英瑞-KY,2018-07-11,1592_英瑞-KY_2018-07-11.txt,上午12:39:42,c21221203
8349,恒耀,2018-07-11,8349_恒耀_2018-07-11.txt,上午12:39:54,c21221203
6123,上奇,2018-07-11,6123_上奇_2018-07-11.txt,上午12:40:06,c21221203
6609,瀧澤科,2018-07-11,6609_瀧澤科_2018-07-11.txt,上午12:42:25,c21221203
6609,瀧澤科,2018-07-11,6609_瀧澤科_2018-07-11.txt,上午12:42:38,c21221203
2426,鼎元,2018-07-11,2426_鼎元_2018-07-11.txt,上午12:42:57,c21221203
4912,聯德控股-KY,2018-07-11,4912_聯德控股-KY_2018-07-11.txt,上午12:43:13,c21221203
5349,先豐,2018-07-11,5349_先豐_2018-07-11.txt,上午12:44:20,c21221203
4736,泰博,2018-07-11,4736_泰博_2018-07-11.txt,上午12:45:17,c21221203
2347,聯強,2018-07-11,2347_聯強_2018-07-11.txt,上午12:45:33,c21221203
2347,聯強,2018-07-11,2347_聯強_2018-07-11.txt,上午12:45:49,c21221203
7402,邑錡,2018-07-11,7402_邑錡_2018-07-11.txt,上午12:46:01,c21221203
7402,邑錡,2018-07-11,7402_邑錡_2018-07-11.txt,上午12:47:09,c21221203
3455,由田,2018-07-11,3455_由田_2018-07-11.txt,上午12:47:20,c21221203
3501,維熹,2018-07-11,3501_維熹_2018-07-11.txt,上午12:47:34,c21221203
4123,晟德,2018-07-11,4123_晟德_2018-07-11.txt,上午12:47:54,c21221203
6207,雷科,2018-07-11,6207_雷科_2018-07-11.txt,上午12:48:07,c21221203
6207,雷科,2018-07-11,6207_雷科_2018-07-11.txt,上午12:48:19,c21221203
1723,中碳,2018-07-11,1723_中碳_2018-07-11.txt,上午12:49:20,c21221203
4526,東台,2018-07-16,4526_東台_2018-07-16.txt,5:19:36 PM,popowing
4526,東台,2018-07-28,4526_東台_2018-07-28.txt,下午7:28:38,c21221203
1787,福盈科,2018-07-28,1787_福盈科_2018-07-28.txt,下午7:29:11,c21221203
2367,燿華,2018-07-28,2367_燿華_2018-07-28.txt,下午7:29:26,c21221203
2409,友達,2018-07-28,2409_友達_2018-07-28.txt,下午7:29:47,c21221203
2337,旺宏,2018-07-28,2337_旺宏_2018-07-28.txt,下午7:30:03,c21221203
2636,台驊投控,2018-07-28,2636_台驊投控_2018-07-28.txt,下午7:30:15,c21221203
2337,旺宏,2018-07-28,2337_旺宏_2018-07-28.txt,下午7:30:29,c21221203
1730,花仙子,2018-07-28,1730_花仙子_2018-07-28.txt,下午7:31:21,c21221203
8112,至上,2018-07-28,8112_至上_2018-07-28.txt,下午7:31:41,c21221203
2501,國建,2018-07-28,2501_國建_2018-07-28.txt,下午7:32:17,c21221203
4105,東洋,2018-07-28,4105_東洋_2018-07-28.txt,下午7:32:41,c21221203
4763,材料-KY,2018-07-28,4763_材料-KY_2018-07-28.txt,下午7:33:02,c21221203
4763,材料-KY,2018-07-28,4763_材料-KY_2018-07-28.txt,下午7:33:13,c21221203
5203,訊連,2018-07-28,5203_訊連_2018-07-28.txt,下午7:33:36,c21221203
4105,東洋,2018-07-28,4105_東洋_2018-07-28.txt,下午7:34:37,c21221203
4105,東洋,2018-07-28,4105_東洋_2018-07-28.txt,下午7:34:53,c21221203
5203,訊連,2018-07-28,5203_訊連_2018-07-28.txt,下午7:35:20,c21221203
3661,世芯-KY,2018-07-28,3661_世芯-KY_2018-07-28.txt,下午7:35:39,c21221203
6574,霈方,2018-07-28,6574_霈方_2018-07-28.txt,下午7:35:52,c21221203
,,2018-07-28,__2018-07-28.txt,下午7:37:44,c21221203
6239,力成,2018-07-28,6239_力成_2018-07-28.txt,下午7:38:00,c21221203
1314,中石化,2018-07-28,1314_中石化_2018-07-28.txt,下午7:38:11,c21221203
1314,中石化,2018-07-28,1314_中石化_2018-07-28.txt,下午7:38:24,c21221203
4927,泰鼎-KY,2018-07-28,4927_泰鼎-KY_2018-07-28.txt,下午7:38:25,c21221203
4927,泰鼎-KY,2018-07-28,4927_泰鼎-KY_2018-07-28.txt,下午7:38:54,c21221203
4927,泰鼎-KY,2018-07-28,4927_泰鼎-KY_2018-07-28.txt,下午7:40:03,c21221203
1702,南僑,2018-07-28,1702_南僑_2018-07-28.txt,下午7:40:12,c21221203
1702,南僑,2018-07-28,1702_南僑_2018-07-28.txt,下午7:40:24,c21221203
2231,為升,2018-07-28,2231_為升_2018-07-28.txt,下午7:40:55,c21221203
2231,為升,2018-07-28,2231_為升_2018-07-28.txt,下午7:41:35,c21221203
1527,鑽全,2018-07-28,1527_鑽全_2018-07-28.txt,下午7:41:52,c21221203
,,2018-07-28,__2018-07-28.txt,下午7:42:10,c21221203
3105,穩懋,2018-07-28,3105_穩懋_2018-07-28.txt,下午7:42:28,c21221203
3105,穩懋,2018-07-28,3105_穩懋_2018-07-28.txt,下午7:42:43,c21221203
