ID,stockNum,stockName,date,investmentCompany,filename,recommend
4757,5289,宜鼎,2019_01_23,中信投顧,5289_宜鼎_2019-01-23_中信投顧_中信個股報告-20190123_5289宜鼎.pdf,NULL
4758,2301,光寶科,2019_01_23,中信投顧,2301_光寶科_2019-01-23_中信投顧_中信個股報告-20190123_2301光寶科.pdf,NULL
4759,4766,南寶,2019_01_23,中信投顧,4766_南寶_2019-01-23_中信投顧_中信個股報告-20190123_4766南寶.pdf,NULL
4760,8404,百和興業-KY,2019_01_23,中信投顧,8404_百和興業-KY_2019-01-23_中信投顧_中信個股報告-20190123_8404百和-KY.pdf,NULL
4761,9938,百和,2019_01_23,NULL,9938_百和_2019-01-23__9938 TT 20190122.pdf,NULL
4762,1560,中砂,2019_01_23,元富,1560_中砂_2019-01-23_元富_中砂(1560)-20190123-速報.pdf,NULL
4763,3548,兆利,2019_01_23,元富,3548_兆利_2019-01-23_元富_兆利(3548)-20190123-速報.pdf,NULL
4764,1736,喬山,2019_01_23,元富,1736_喬山_2019-01-23_元富_喬山(1736)-20190123-速報.pdf,NULL
4765,4551,智伸科,2019_01_23,第一金,4551_智伸科_2019-01-23_第一金_智伸科(4551)-區間.pdf,NULL
4766,6196,帆宣,2019_01_23,第一金,6196_帆宣_2019-01-23_第一金_帆宣(6196)-區間.pdf,NULL
4767,3558,神準,2019_01_23,NULL,3558_神準_2019-01-23__3558 TT 20190123.pdf,NULL
4768,3548,兆利,2019_01_23,元富,3548_兆利_2019-01-23_元富_3548兆利20190123-報告.pdf,NULL
4769,9914,美利達,2019_01_24,富邦台灣,9914_美利達_2019-01-24_富邦台灣_9914_美利達_snapshot_c_012219.pdf,NULL
4770,2355,敬鵬,2019_01_24,中信投顧,2355_敬鵬_2019-01-24_中信投顧_中信個股報告-20190124_2355敬鵬.pdf,NULL
4771,8210,勤誠,2019_01_24,中信投顧,8210_勤誠_2019-01-24_中信投顧_中信個股報告-20190124_8210勤誠.pdf,NULL
4772,3338,泰碩,2019_01_24,中信投顧,3338_泰碩_2019-01-24_中信投顧_中信個股報告-20190124_3338泰碩.pdf,NULL
4773,6581,鋼聯,2019_01_24,元富,6581_鋼聯_2019-01-24_元富_鋼聯(6581)-20190124-速報.pdf,NULL
4774,6166,凌華,2019_01_24,NULL,6166_凌華_2019-01-24__6166 TT 20190123.pdf,NULL
4775,6192,巨路,2019_01_24,富邦台灣,6192_巨路_2019-01-24_富邦台灣_6192_巨路_snapshot_c_012419.pdf,NULL
4776,8341,日友,2019_01_24,NULL,8341_日友_2019-01-24__8341 TT 20190124.pdf,NULL
4777,8215,明基材,2019_01_24,元富,8215_明基材_2019-01-24_元富_8215明基材20190124-報告.pdf,NULL
4778,2330,台積電,2019_01_24,NULL,2330_台積電_2019-01-24__Concord Taiwan：TSMC (2330 TT)-20190124.pdf,NULL
4779,8215,明基材,2019_01_24,元富,8215_明基材_2019-01-24_元富_明基材(8215)-20190124-速報.pdf,NULL
4780,6285,啟碁,2019_01_25,國票,6285_啟碁_2019-01-25_國票_國票6285啟碁01252019.pdf,NULL
4781,2337,旺宏,2019_01_25,國票,2337_旺宏_2019-01-25_國票_國票2337旺宏01252019.pdf,NULL
