股票代號,股票名稱,日期,檔案路徑,輸入時間,Username
3189.0,景碩,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3189_景碩_2018-06-02_下午7:08:59.txt,下午7:08:59,c21221203
2881.0,富邦金,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2881_富邦金_2018-06-02_下午7:09:10.txt,下午7:09:10,c21221203
6560.0,欣普羅,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/6560_欣普羅_2018-06-02_下午7:12:52.txt,下午7:12:52,c21221203
2347.0,聯強,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2347_聯強_2018-06-02_下午7:13:00.txt,下午7:13:00,c21221203
5469.0,瀚宇博,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/5469_瀚宇博_2018-06-02_下午7:13:17.txt,下午7:13:17,c21221203
3090.0,日電貿,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3090_日電貿_2018-06-02_下午7:13:23.txt,下午7:13:23,c21221203
2382.0,廣達,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2382_廣達_2018-06-02_下午7:13:31.txt,下午7:13:31,c21221203
1303.0,南亞,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1303_南亞_2018-06-02_下午7:13:39.txt,下午7:13:39,c21221203
1319.0,東陽,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1319_東陽_2018-06-02_下午7:13:45.txt,下午7:13:45,c21221203
4938.0,和碩,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/4938_和碩_2018-06-02_下午7:13:54.txt,下午7:13:54,c21221203
6648.0,斯其大,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/6648_斯其大_2018-06-02_下午7:14:01.txt,下午7:14:01,c21221203
2049.0,上銀,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2049_上銀_2018-06-02_下午7:14:09.txt,下午7:14:09,c21221203
6277.0,宏正,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/6277_宏正_2018-06-02_下午7:14:19.txt,下午7:14:19,c21221203
4152.0,台微體,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/4152_台微體_2018-06-02_下午7:14:25.txt,下午7:14:25,c21221203
2929.0,淘帝-KY,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2929_淘帝-KY_2018-06-02_下午7:14:31.txt,下午7:14:31,c21221203
1319.0,東陽,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1319_東陽_2018-06-02_下午7:14:39.txt,下午7:14:39,c21221203
3529.0,力旺,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3529_力旺_2018-06-02_下午7:14:45.txt,下午7:14:45,c21221203
2891.0,中信金,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2891_中信金_2018-06-02_下午7:14:52.txt,下午7:14:52,c21221203
4938.0,和碩,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/4938_和碩_2018-06-02_下午7:14:59.txt,下午7:14:59,c21221203
2049.0,上銀,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2049_上銀_2018-06-02_下午7:15:07.txt,下午7:15:07,c21221203
6560.0,欣普羅,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/6560_欣普羅_2018-06-02_下午7:15:27.txt,下午7:15:27,c21221203
5871.0,中租-KY,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/5871_中租-KY_2018-06-02_下午7:15:34.txt,下午7:15:34,c21221203
5871.0,中租-KY,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/5871_中租-KY_2018-06-02_下午7:15:44.txt,下午7:15:44,c21221203
3698.0,隆達,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3698_隆達_2018-06-02_下午7:15:51.txt,下午7:15:51,c21221203
1723.0,中碳,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1723_中碳_2018-06-02_下午7:15:58.txt,下午7:15:58,c21221203
